no,group1,group2,sc0,sc1,sc2_1,sc3,q2_a1,q2_1b_1,q2_1b_2,q2_a2,q2_2b_1,q2_2b_2,q2_a3,q2_3b_1,q2_3b_2,q2_4_1,q2_4_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q3_1,q3_2,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q6_1,q6_2,q6_3,q6_4,sq1_1,sq1_2,sq1_3,sq1_4,sq1_5,sq1_6,sq1_7,sq1_8
1,1,1,1,1,26,2,8,,,1,1,0,7,0,30,11,0,5,2,4,4,3,4,1,4,5,5,7,7,7,7,7,6,4,3,3,1,1,1,4,4,3,1,2,1,5,6,6,5,5,4,4,4,1,4,4,4
2,5,1,1,2,29,2,8,,,8,,,2,0,10,3,0,3,3,3,3,3,3,3,3,2,2,6,6,6,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,4,2,4,4,2,4,2
3,1,1,1,1,26,2,8,,,1,1,0,7,0,30,12,0,4,1,3,1,1,4,1,4,5,5,7,7,7,6,7,7,5,4,3,1,1,1,4,3,4,1,2,1,6,6,5,5,5,4,4,4,1,3,1,4
5,1,1,1,1,29,2,5,1,0,5,1,0,3,1,0,3,0,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,2,3,3,2,4,2,4
6,5,,1,2,29,2,8,,,8,,,7,1,0,3,0,4,2,4,2,4,2,4,2,4,2,5,3,4,4,3,4,5,2,3,3,4,3,4,2,5,2,5,3,4,2,4,2,,,,,,,,
7,1,1,1,1,28,2,4,1,20,3,1,0,1,1,0,5,0,4,4,3,3,2,4,4,3,5,5,5,7,6,7,7,6,4,4,5,4,5,5,5,5,4,4,5,4,4,4,4,4,5,5,4,4,3,4,3,4
8,7,1,1,2,40,2,8,,,1,0,30,5,0,30,3,0,4,1,4,1,1,4,1,4,1,1,7,7,7,7,7,7,5,4,4,1,1,1,5,5,5,1,5,1,7,7,1,1,5,1,5,1,1,5,1,5
9,16,,1,2,54,2,8,,,8,,,8,,,3,0,1,5,1,5,5,1,5,1,1,1,3,4,4,1,1,1,1,1,3,1,1,3,1,1,3,2,1,3,1,1,1,1,,,,,,,,
10,2,,1,1,33,2,8,,,8,,,3,0,30,12,0,2,4,2,4,3,4,3,2,1,1,2,1,2,3,4,2,3,2,2,1,2,2,3,1,4,2,1,2,3,2,2,2,,,,,,,,
11,10,1,1,1,39,2,8,,,8,,,8,,,5,30,3,3,3,3,3,4,3,3,1,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
12,2,,1,1,39,2,8,,,8,,,7,5,0,3,0,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,3,3,3,2,2,3,4,2,4,2,2,2,4,4,4,4,,,,,,,,
13,8,1,1,2,54,2,8,,,5,1,20,7,1,0,5,0,3,3,3,2,3,3,3,4,5,4,6,6,6,4,4,4,3,3,5,5,2,2,3,3,5,4,2,2,5,5,6,4,3,3,4,3,2,4,3,3
14,9,1,1,1,23,2,8,,,8,,,8,,,10,0,1,5,1,5,5,1,5,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,1,5,5,1,5,1
15,8,1,1,2,58,2,8,,,3,1,30,4,1,0,7,0,3,3,3,2,3,3,3,3,4,4,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,2,3,3,3,3,3,3
16,3,1,1,1,49,2,8,,,5,1,0,7,0,30,6,0,3,2,4,2,3,3,2,4,3,3,4,5,6,4,3,4,3,3,4,4,3,2,3,4,4,4,2,2,4,4,4,3,3,3,4,3,2,3,2,4
17,9,1,1,1,26,2,8,,,8,,,8,,,11,0,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,2,5,1
18,11,1,1,1,47,2,8,,,8,,,8,,,15,0,2,4,2,4,4,2,4,2,1,1,4,4,4,3,3,3,2,2,2,1,1,3,2,2,2,1,1,3,2,2,2,2,1,5,1,5,5,2,4,1
19,8,1,1,2,50,2,8,,,8,,,2,0,20,12,0,3,3,3,3,3,3,3,2,1,1,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,4,2
20,11,1,1,1,47,2,8,,,8,,,8,,,5,0,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,4,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
21,1,1,1,1,28,2,3,0,50,3,1,0,2,2,0,3,30,2,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,3,3,3,3,3,1,3,3,3,3,3,3,4,4,4,4,2,3,3,3,4,3,3,3
22,7,1,1,2,47,2,8,,,8,,,5,0,30,6,30,1,4,2,4,4,2,5,1,1,1,3,4,5,2,4,2,1,1,2,2,2,3,1,3,4,2,2,3,2,1,1,1,1,4,2,4,4,2,4,2
23,6,1,1,2,38,2,8,,,5,0,30,7,1,0,10,0,1,1,1,1,1,2,2,2,4,4,7,7,7,2,2,2,3,3,3,3,4,3,2,3,3,3,3,3,5,5,5,5,1,2,2,2,2,2,2,2
24,15,1,1,2,40,2,8,,,8,,,8,,,0,0,3,3,4,3,3,3,3,3,1,1,5,5,5,5,5,5,2,2,3,4,3,3,3,3,3,4,3,3,2,2,2,2,3,3,3,4,3,3,3,3
25,4,1,1,1,59,2,8,,,8,,,5,0,10,4,0,1,3,3,3,4,3,4,2,1,1,2,2,3,2,2,2,1,1,1,1,1,4,2,1,2,1,1,2,1,1,1,1,1,3,2,3,4,2,3,2
26,3,,1,1,49,2,8,,,8,,,5,0,50,8,0,3,3,4,3,2,3,2,3,2,2,5,5,5,4,4,4,3,3,3,2,1,1,3,3,3,2,1,1,4,4,4,4,,,,,,,,
